iter	Passed	Remaining
916	1977	178
917	1978	176
918	1979	174
919	1981	172
920	1983	170
921	1986	168
922	1987	165
923	1989	163
924	1991	161
925	1993	159
926	1995	157
927	1996	154
928	1998	152
929	2001	150
930	2003	148
931	2004	146
932	2006	144
933	2007	141
934	2009	139
935	2010	137
936	2012	135
937	2013	133
938	2017	131
939	2019	128
940	2021	126
941	2023	124
942	2024	122
943	2026	120
944	2027	118
945	2030	115
946	2032	113
947	2033	111
948	2035	109
949	2039	107
950	2041	105
951	2050	103
952	2058	101
953	2065	99
954	2071	97
955	2073	95
956	2075	93
957	2078	91
958	2081	89
959	2084	86
960	2087	84
961	2090	82
962	2092	80
963	2093	78
964	2095	76
965	2097	73
966	2098	71
967	2100	69
968	2101	67
969	2103	65
970	2106	62
971	2108	60
972	2109	58
973	2111	56
974	2113	54
975	2114	51
976	2116	49
977	2117	47
978	2119	45
979	2121	43
980	2123	41
981	2125	38
982	2126	36
983	2128	34
984	2130	32
985	2131	30
986	2133	28
987	2135	25
988	2137	23
989	2139	21
990	2140	19
991	2142	17
992	2143	15
993	2145	12
994	2146	10
995	2148	8
996	2150	6
997	2152	4
998	2154	2
999	2156	0
